"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"573","588","Common dab","Limanda limanda","Aquatic foods","Fishes"
"574","589","Spiny dogfish","Squalus acanthias","Aquatic foods","Fishes"
"575","590","Anatidae","Anatidae","Animal foods","Poultry"
"576","591","Anguilliformes","Anguilliformes","Aquatic foods","Fishes"
"577","592","True frog","Ranidae","Aquatic foods","Amphibians"
"578","593","Garfish","Belone belone","Aquatic foods","Fishes"
"579","594","Gadiformes","Gadiformes","Aquatic foods","Fishes"
"580","595","Mountain hare","Lepus timidus","Animal foods","Lagomorphs"
"581","596","Lake trout","Salvelinus namaycush","Aquatic foods","Fishes"
"582","597","Lemon sole","Microstomus kitt","Aquatic foods","Fishes"
"583","598","Clawed lobster","Nephropidae","Aquatic foods","Crustaceans"
"584","599","Lumpsucker","Cyclopteridae","Aquatic foods","Fishes"
"585","600","Scombridae (Bonito, Mackerel, Tuna)","Scombridae","Aquatic foods","Fishes"
"586","601","Marine mussel","Mytilidae","Aquatic foods","Mollusks"
"587","602","Norway haddock","Sebastes viviparus","Aquatic foods","Fishes"
"588","603","Norway lobster","Nephrops norvegicus","Aquatic foods","Crustaceans"
"589","604","Norway pout","Trisopterus esmarkii","Aquatic foods","Fishes"
"590","605","Oil palm","Elaeis","Herbs and Spices","Oilseed crops"
"591","606","True oyster","Ostreidae","Aquatic foods","Mollusks"
"592","607","Sago palm","Metroxylon sagu","Herbs and Spices","Oilseed crops"
"593","608","Persimmon","Diospyros","Fruits","Tropical fruits"
"594","609","Pikeperch","Sander lucioperca","Aquatic foods","Fishes"
"595","610","Pleuronectidae (Dab, Halibut, Plaice)","Pleuronectidae","Aquatic foods","Fishes"
"596","611","Rock ptarmigan","Lagopus muta","Animal foods","Poultry"
"597","612","Pacific ocean perch","Sebastes alutus","Aquatic foods","Fishes"
"598","613","Black salsify","Scorzonera hispanica","Vegetables","Root vegetables"
"599","614","True seal","Phocidae","Aquatic foods","Pinnipeds"
"600","615","Red algae","Rhodophyta","Aquatic foods","Seaweed"
"601","616","Kombu","Saccharina japonica","Aquatic foods","Seaweed"
"602","617","Snail","Gastropoda","Aquatic foods","Mollusks"
"603","618","True sole","Soleidae","Aquatic foods","Fishes"
"604","619","Catfish","Siluriformes","Aquatic foods","Fishes"
"605","620","Thistle","Cirsium","Vegetables","Root vegetables"
"606","621","Thunnus","Thunnus","Aquatic foods","Fishes"
"607","622","Walnut","Juglans","Nuts","Nuts"
"608","623","Cetacea (Dolphin, Porpoise, Whale)","Cetacea","Aquatic foods","Cetaceans"
"609","624","Columbidae (Dove, Pigeon)","Columbidae","Animal foods","Poultry"
"610","625","Conch","Strombidae","Aquatic foods","Mollusks"
"611","626","Grape wine","","Beverages","Fermented beverages"
"612","627","Berry wine","","Beverages","Fermented beverages"
"613","628","Other wine","","Beverages","Fermented beverages"
"614","629","Apple cider","","Beverages","Fermented beverages"
"615","630","Liquor","","Beverages","Distilled beverages"
"616","631","Cheese","","Milk and milk products","Fermented milk products"
"617","632","Milk (Cow)","","Milk and milk products","Unfermented milks"
"618","633","Eggs","","Eggs","Eggs"
"619","634","Yogurt","","Milk and milk products","Fermented milk products"
"620","638","Bean","","Pulses","Beans"
"621","639","Vodka","","Beverages","Distilled beverages"
"622","640","Whisky","","Beverages","Distilled beverages"
"623","641","Ice cream","","Confectioneries","Frozen desserts"
