Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bermuda,BMU,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.53,..,..,..,..
Bermuda,BMU,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.165,..,..,..,..
Bermuda,BMU,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.743,..,..,..,..
Bermuda,BMU,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,1.652,..,..,..,..
Bhutan,BTN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.191,..,..,..,..
Bhutan,BTN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,1.122,..,..,..,..
Bhutan,BTN,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.427,..,..,..,..
Bhutan,BTN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.164,..,..,..,..
Bhutan,BTN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.54,..,..,..,..
Bhutan,BTN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.94,..,..,..,..
Bolivia,BOL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.046,..,..,..,..
Bolivia,BOL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.411,..,..,..,..
Bolivia,BOL,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.53,..,..,..,..
Bolivia,BOL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.14,..,..,..,..
Bolivia,BOL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.781,..,..,..,..
Bolivia,BOL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.644,..,..,..,..
Bonaire,BON,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,..,..,..,..,..
Bonaire,BON,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,..,..,..,..,..
Bonaire,BON,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,..,..,..,..,..
Bonaire,BON,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,..,..,..,..,..
Bonaire,BON,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,..,..,..,..,..
Bonaire,BON,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,..,..,..,..,..
Bosnia and Herzegovina,BIH,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.921,..,..,..,..
Bosnia and Herzegovina,BIH,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.916,..,..,..,..
Bosnia and Herzegovina,BIH,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.512,..,..,..,..
Bosnia and Herzegovina,BIH,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.132,..,..,..,..
Bosnia and Herzegovina,BIH,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.54,..,..,..,..
Bosnia and Herzegovina,BIH,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.825,..,..,..,..
Botswana,BWA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.097,..,..,..,..
Botswana,BWA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.795,..,..,..,..
Botswana,BWA,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.402,..,..,..,..
Botswana,BWA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.142,..,..,..,..
Botswana,BWA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.39,..,..,..,..
Botswana,BWA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.796,..,..,..,..
Brazil,BRA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.635,..,..,..,..
Brazil,BRA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.46,..,..,..,..
Brazil,BRA,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.742,..,..,..,..
Brazil,BRA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.067,..,..,..,..
Brazil,BRA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.439,..,..,..,..
